PersonID,Email
DON001,patricia.taylor@donor.org
DON002,daniel.anderson@donor.org
RES001,rachel.thompson@research.edu
RES002,kevin.white@research.edu
RNG001,james.anderson@nps.gov
RNG002,maria.garcia@nps.gov
RNG003,thomas.martinez@nps.gov
RNG004,amanda.rodriguez@nps.gov
RNG005,christopher.lee@nps.gov
VIS001,john.smith@email.com
VIS002,sarah.johnson@email.com
VIS003,michael.williams@email.com
VIS004,emily.brown@email.com
VIS005,david.davis@email.com
VIS006,lisa.miller@email.com
VIS007,robert.wilson@email.com
VIS008,jennifer.moore@email.com
